Country,Deaths,Cases
World,6367847,561407565
"European Union[b]",1110232,154788776
"United States",1023736,89453076
Brazil,675090,33250117
India,525660,43730071
Russia,374062,18211383
Mexico,326420,6408443
Peru,213769,3729879
"United Kingdom",181761,23160756
Italy,169735,19985479
Indonesia,156833,6127084
France,150483,32737629
Germany,142533,29692989
Iran,141477,7270023
Colombia,140365,6223497
Argentina,129145,9426171
Poland,116470,6029947
Ukraine,116422,5289732
Spain,109348,13090476
"South Africa",101895,3998466
Turkey,99088,15297539
Romania,65805,2958051
Philippines,60641,3727970
Chile,58990,4122401
Hungary,46696,1940824
Canada,43510,4024060
Vietnam,43090,10759145
"Czech Republic",40350,3951803
Bulgaria,37289,1183877
Malaysia,35844,4613998
Ecuador,35769,927700
Belgium,32051,4349050
Japan,31561,10102454
Thailand,30958,4554976
Greece,30476,3843142
Pakistan,30438,1545647
Bangladesh,29225,1994433
Tunisia,28823,1087030
Iraq,25263,2399795
"South Korea",24728,18721415
Egypt,24725,515645
Portugal,24381,5273845
Netherlands,22509,8284784
Bolivia,21979,960779
Slovakia,20169,2562431
Austria,20163,4618853
Myanmar,19434,613798
Sweden,19203,2528166
Paraguay,19083,688820
Kazakhstan,19020,1402871
Guatemala,18782,977539
Georgia,16847,1667453
"Sri Lanka",16527,664389
Morocco,16173,1248856
Serbia,16166,2052116
Croatia,16143,1165478
"Bosnia and Herzegovina",15817,380749
Jordan,14069,1702661
Switzerland,13857,3861756
Nepal,11952,981142
Moldova,11584,523034
Israel,11101,4498027
Honduras,10912,430672
Australia,10659,8734573
Lebanon,10485,1135565
Azerbaijan,9717,793388
"Hong Kong",9432,1287088
"North Macedonia",9339,318138
"Saudi Arabia",9229,802586
Lithuania,9188,1168585
Armenia,8629,423771
Cuba,8529,1106666
"Costa Rica",8525,904934
Panama,8386,938791
Taiwan,8031,4215200
Afghanistan,7729,183407
"Republic of Ireland",7571,1628745
Ethiopia,7561,490925
Uruguay,7373,965370
Belarus,7118,994037
Algeria,6875,266392
Slovenia,6666,1057817
Denmark,6551,3203739
Libya,6430,502289
Latvia,5875,844980
Venezuela,5745,529384
Kenya,5668,336578
Palestine,5662,662588
Zimbabwe,5566,256083
China[c],5226,894689
Finland,5012,1171034
Sudan,4955,62795
Oman,4628,391641
"Dominican Republic",4383,621047
"El Salvador",4171,180970
Namibia,4068,169253
"Trinidad and Tobago",4036,169028
Zambia,4009,327994
Uganda,3627,168629
Albania,3517,293917
Norway,3504,1452521
Jamaica,3166,144489
Syria,3150,55973
Kosovo,3146,234880
Nigeria,3144,258934
Cambodia,3056,136421
Kyrgyzstan,2991,201414
Botswana,2760,324841
Montenegro,2730,245896
Malawi,2652,86900
Estonia,2608,585143
Kuwait,2556,648216
"United Arab Emirates",2325,970586
Mozambique,2215,228972
Yemen,2149,11832
Mongolia,2119,930677
Senegal,1968,86679
Cameroon,1931,120068
Angola,1909,101901
"New Zealand",1741,1494272
Uzbekistan,1637,242043
Bahrain,1505,646695
Rwanda,1462,131832
Ghana,1456,167215
Singapore,1447,1579946
Eswatini,1417,73235
Madagascar,1403,66098
Suriname,1377,80919
"Democratic Republic of the Congo",1376,91737
Somalia,1361,26900
Guyana,1264,68730
Luxembourg,1103,275512
Cyprus,1086,545896
Mauritius,1008,233082
Mauritania,986,61763
Fiji,869,66713
Tanzania,841,37510
Haiti,837,32070
Bahamas,822,36354
"Ivory Coast",806,84451
Malta,768,110501
Laos,757,210462
Mali,737,31196
Lesotho,702,34040
Qatar,680,392916
Belize,680,65994
"Papua New Guinea",662,44761
"French Polynesia",649,74022
Barbados,479,87219
Guinea,445,37358
"Cabo Verde",409,61776
"Burkina Faso",387,21128
"Republic of the Congo",386,24604
"Saint Lucia",385,27464
Gambia,365,12009
"New Caledonia",314,66732
Niger,311,9096
Maldives,307,183491
Gabon,306,48289
Liberia,294,7504
Cura̤ao,280,44782
Togo,275,37745
Nicaragua,244,14751
Grenada,233,18640
Brunei,225,182950
Aruba,224,41787
Chad,193,7427
Djibouti,189,15690
"Equatorial Guinea",183,16584
Iceland,179,199611
Guinea-Bissau,171,8400
Seychelles,167,45185
Benin,163,27216
Comoros,160,8209
Andorra,153,44671
"Solomon Islands",153,21544
"Antigua and Barbuda",143,8704
Bermuda,141,16722
"South Sudan",138,17733
Timor-Leste,133,22976
Tajikistan,125,17786
"Sierra Leone",125,7721
"San Marino",116,19132
"Saint Vincent and the Grenadines",115,9183
"Central African Republic",113,14712
"Isle of Man",110,37239
Gibraltar,105,19862
Eritrea,103,9852
Liechtenstein,85,18335
"Sao Tome and Principe",74,6079
Dominica,68,14852
"British Virgin Islands",63,7131
Monaco,60,13739
"Saint Kitts and Nevis",45,6367
Burundi,38,43222
"Caribbean Netherlands",37,10567
"Turks and Caicos Islands",36,6255
"Cayman Islands",29,28389
Samoa,29,15155
"Faroe Islands",28,34658
Bhutan,21,59940
Greenland,21,11971
Vanuatu,14,11722
Kiribati,13,3236
Tonga,12,12382
Anguilla,9,3496
Montserrat,8,1025
"Wallis and Futuna",7,456
Palau,6,5308
"North Korea",6,1
Macau,5,711
"Cook Islands",1,5831
"Saint Pierre and Miquelon",1,2970
"Federated States of Micronesia",0,38
"Vatican City",0,29
