Country,Deaths,Cases,"Death Rate"
"Vatican City",0,29,0.0000
"Federated States of Micronesia",0,38,0.0000
"Cook Islands",1,5831,0.0002
"Saint Pierre and Miquelon",1,2970,0.0003
Bhutan,21,59940,0.0004
"Faroe Islands",28,34658,0.0008
Iceland,179,199611,0.0009
Singapore,1447,1579946,0.0009
Burundi,38,43222,0.0009
"Cayman Islands",29,28389,0.0010
Tonga,12,12382,0.0010
Palau,6,5308,0.0011
Brunei,225,182950,0.0012
Australia,10659,8734573,0.0012
"New Zealand",1741,1494272,0.0012
Vanuatu,14,11722,0.0012
"South Korea",24728,18721415,0.0013
Maldives,307,183491,0.0017
Qatar,680,392916,0.0017
Greenland,21,11971,0.0018
Taiwan,8031,4215200,0.0019
Samoa,29,15155,0.0019
Cyprus,1086,545896,0.0020
Denmark,6551,3203739,0.0020
Bahrain,1505,646695,0.0023
Mongolia,2119,930677,0.0023
Norway,3504,1452521,0.0024
"United Arab Emirates",2325,970586,0.0024
Israel,11101,4498027,0.0025
Anguilla,9,3496,0.0026
Netherlands,22509,8284784,0.0027
"Isle of Man",110,37239,0.0030
Japan,31561,10102454,0.0031
Andorra,153,44671,0.0034
"Caribbean Netherlands",37,10567,0.0035
Switzerland,13857,3861756,0.0036
Laos,757,210462,0.0036
Seychelles,167,45185,0.0037
Kuwait,2556,648216,0.0039
Luxembourg,1103,275512,0.0040
Vietnam,43090,10759145,0.0040
Kiribati,13,3236,0.0040
Finland,5012,1171034,0.0043
Mauritius,1008,233082,0.0043
Austria,20163,4618853,0.0044
Monaco,60,13739,0.0044
Estonia,2608,585143,0.0045
Portugal,24381,5273845,0.0046
France,150483,32737629,0.0046
Liechtenstein,85,18335,0.0046
"Republic of Ireland",7571,1628745,0.0046
Dominica,68,14852,0.0046
"New Caledonia",314,66732,0.0047
Germany,142533,29692989,0.0048
Gibraltar,105,19862,0.0053
Aruba,224,41787,0.0054
Barbados,479,87219,0.0055
"Turks and Caicos Islands",36,6255,0.0058
Timor-Leste,133,22976,0.0058
China[c],5226,894689,0.0058
Benin,163,27216,0.0060
"San Marino",116,19132,0.0061
Slovenia,6666,1057817,0.0063
Cura̤ao,280,44782,0.0063
Gabon,306,48289,0.0063
Turkey,99088,15297539,0.0065
"Cabo Verde",409,61776,0.0066
Thailand,30958,4554976,0.0068
Uzbekistan,1637,242043,0.0068
Latvia,5875,844980,0.0070
Malta,768,110501,0.0070
Tajikistan,125,17786,0.0070
Macau,5,711,0.0070
"Saint Kitts and Nevis",45,6367,0.0071
"Dominican Republic",4383,621047,0.0071
"Solomon Islands",153,21544,0.0071
"European Union[b]",1110232,154788776,0.0072
Belarus,7118,994037,0.0072
"Hong Kong",9432,1287088,0.0073
Togo,275,37745,0.0073
Belgium,32051,4349050,0.0074
Uruguay,7373,965370,0.0076
Sweden,19203,2528166,0.0076
Cuba,8529,1106666,0.0077
"Central African Republic",113,14712,0.0077
"United Kingdom",181761,23160756,0.0078
Montserrat,8,1025,0.0078
Malaysia,35844,4613998,0.0078
"South Sudan",138,17733,0.0078
Slovakia,20169,2562431,0.0079
Lithuania,9188,1168585,0.0079
Greece,30476,3843142,0.0079
Serbia,16166,2052116,0.0079
Jordan,14069,1702661,0.0083
Spain,109348,13090476,0.0084
Bermuda,141,16722,0.0084
Italy,169735,19985479,0.0085
Palestine,5662,662588,0.0085
Botswana,2760,324841,0.0085
Ghana,1456,167215,0.0087
"French Polynesia",649,74022,0.0088
"British Virgin Islands",63,7131,0.0088
Panama,8386,938791,0.0089
Lebanon,10485,1135565,0.0092
